Amount,MerchantID,TransactionType,Location,IsFraud
4189.27,688,refund,San Antonio,0
2659.71,109,refund,Dallas,0
784,394,purchase,New York,0
3514.4,944,purchase,Philadelphia,0
369.07,475,purchase,Phoenix,0
3086.22,302,purchase,New York,0
1466.9,902,refund,Philadelphia,0
917.21,266,purchase,New York,0
1625.73,32,refund,Chicago,0
662.07,193,purchase,Dallas,0
3895.94,349,refund,San Antonio,0
944.94,359,purchase,San Jose,0
2855.69,219,refund,New York,0
4313.82,617,refund,San Jose,0
4599.06,529,refund,Philadelphia,0
1524.05,462,purchase,San Diego,0
2721.95,912,refund,New York,0
1357.76,522,refund,New York,0
4726.01,456,purchase,Dallas,0
1814.95,134,refund,Houston,0
269.8,51,refund,San Jose,0
512.1,196,purchase,Philadelphia,0
2932.64,813,refund,Chicago,0
1177.11,878,refund,Philadelphia,0
3661.74,521,purchase,Dallas,0
3664.95,348,purchase,San Antonio,0
4186.42,725,purchase,New York,0
1542.27,44,purchase,Houston,0
4360.74,605,refund,Chicago,0
862.62,347,purchase,San Diego,0
1062.73,595,refund,Chicago,0
4162.63,163,purchase,San Jose,0
3439.54,781,refund,San Antonio,0
3953.72,510,purchase,Phoenix,0
516.14,469,refund,San Diego,0
1069.35,322,refund,Phoenix,0
1951.61,991,refund,Philadelphia,0
2084.95,369,refund,San Jose,0
3204.04,663,purchase,Houston,0
58.49,284,refund,Philadelphia,0
3472.91,788,refund,San Diego,0
1488.04,207,purchase,Los Angeles,0
774.15,661,refund,Dallas,0
2346.77,31,refund,Houston,0
616.82,4,refund,Los Angeles,0
2052.8,980,refund,Houston,0
4833.08,251,refund,Chicago,0
4652.12,334,purchase,San Diego,0
2486.55,978,refund,Phoenix,0
3968.51,639,purchase,Philadelphia,0
29.32,620,refund,Chicago,0
817.4,57,refund,Chicago,0
1801.08,456,refund,San Jose,0
740.67,970,purchase,San Antonio,0
2700.55,430,purchase,New York,0
875.22,437,purchase,Houston,0
3021.84,685,refund,San Diego,0
3558.8,274,purchase,Philadelphia,0
442.85,12,refund,Chicago,0
3836.6,277,refund,Dallas,0
4707.89,94,refund,San Antonio,0
2069.71,400,purchase,New York,0
1022.13,526,refund,Phoenix,0
3916.07,576,refund,San Jose,0
1977.93,879,refund,Dallas,0
720.95,680,purchase,Houston,0
1788.8,546,purchase,Philadelphia,0
3448.81,219,refund,San Diego,0
3443.84,555,refund,Dallas,0
493.08,412,purchase,Los Angeles,0
4372.58,210,refund,New York,0
235.06,363,purchase,New York,0
1708.71,112,refund,San Diego,0
3374.61,109,refund,New York,0
2298.56,469,refund,Philadelphia,0
2988.26,823,purchase,San Jose,0
2015.55,447,purchase,San Diego,0
1509.45,619,refund,Philadelphia,0
4611.36,94,refund,Los Angeles,0
222.74,620,purchase,Los Angeles,0
4298.25,979,refund,Philadelphia,0
1007.32,770,refund,Phoenix,0
2166.21,807,purchase,New York,0
2522.34,52,purchase,Philadelphia,0
2282.71,196,purchase,Dallas,0
2377.94,282,purchase,Houston,0
1081.21,926,refund,Chicago,0
4152.22,397,refund,San Antonio,0
3947.26,431,refund,Houston,0
1370.1,701,refund,Philadelphia,0
4922.69,846,refund,New York,0
2356.42,941,purchase,New York,0
4527.03,817,purchase,Dallas,0
2006,87,refund,San Antonio,0
1923.78,708,refund,New York,0
1209.88,336,purchase,Philadelphia,0
3558.24,188,refund,San Jose,0
923.88,407,purchase,San Jose,0
4836.36,656,purchase,Chicago,0
3396.1,818,purchase,Philadelphia,0
2522.38,68,refund,Chicago,0
433.94,837,purchase,Chicago,0
4975.64,37,refund,Houston,0
772.43,78,refund,Dallas,0
814.27,348,refund,New York,0
3016.19,574,purchase,Los Angeles,0
639.68,725,refund,New York,0
3593.48,376,purchase,San Diego,0
3593.2,934,refund,Los Angeles,0
785.79,78,refund,Phoenix,0
1404.77,727,refund,San Jose,0
388.09,258,purchase,San Diego,0
4469.05,441,purchase,Chicago,0
3084.23,305,refund,Phoenix,0
3268.77,364,refund,San Diego,0
4443.7,339,purchase,New York,0
3773.79,382,purchase,San Jose,0
2525.84,464,purchase,San Diego,0
2827.55,714,purchase,San Diego,0
1019.46,244,refund,San Diego,0
1476.27,231,refund,Los Angeles,0
1871.58,443,purchase,Phoenix,0
1290.73,455,refund,New York,0
3904.09,608,purchase,Philadelphia,0
303.11,232,refund,Chicago,0
1445.21,955,refund,San Jose,0
2797.59,897,purchase,Los Angeles,0
4820.74,663,refund,San Jose,0
4676.86,983,purchase,Chicago,0
2131.67,349,purchase,Dallas,0
4593.26,366,refund,San Jose,0
2964.31,486,purchase,San Antonio,0
4452.56,587,refund,Chicago,0
