summary_nr,Event Date,Abstract Text,Event Description,Event Keywords,con_end,Construction End Use,build_stor,Building Stories,proj_cost,Project Cost,proj_type,Project Type,Degree of Injury,nature_of_inj,Nature of Injury,part_of_body,Part of Body,event_type,Event type,evn_factor,Environmental Factor,hum_factor,Human Factor,task_assigned,Task Assigned,hazsub,fat_cause,fall_ht
220938229,2016-01-06 00:00:00,"At 4:00 p.m. on April 22, 2017, an employee was opening a perimeter gate of a property to allow a contract landscape company to enter the premises. The gate consisted of metal construction, was black in color, and was controlled manually through pulling or pushing motions. As the employee pulled the gate with his right hand and walking towards its latch,  it became jammed at the half-way point. He pushed the gate back a little and hen advanced it forward again, which knocked the employee off balance. His right foot become trapped between the bottom of the gate and the pavement, resulting in the employee sustaining a laceration on his posterior right ankle, which he was hospitalized and received treatment. ",EMPLOYEE FALLS THROUGH FIBERGLASS SKYLIGHT AND FRACTURES RIG,"FALL,HEAD,LACERATION",N,"Excavation, landfill",14,21,C,"$250,000 to $500,000",D,Demolition,Nonfatal,0,Illness,22,Lower Leg,0,Ingestion,9.910256825678948,"Weather, Earthquake, Etc.",7,Defective Equipment In Use,2,Not Regularly Assigned,D150,1,0
220950588,2017-02-21 00:00:00,"At 10:00 a.m. on February 7, 2017, an employee was repairing the chain drive of a conveyor system.After locking out the machine, the employee fixed the chain and then removed the lock to test the conveyor.  During testing, the employee observed that the chain was not traveling at the correct speed. While the conveyor was still running, the employee tapped the chain with one of his fingers on his left hand. The chain immediately sped up and caught the employee's finger, resulting in a partial amputation of the finger's tip. The employee was hospitalized and received treatment for his injury. ",EMPLOYEE IS EXPOSED TO DANGEROUS ATMOSPHERE WHEN SCBA MALFUN,"UNGUARDED FL OPENING,AERIAL LIFT,FALL,FALL PROTECTION",O,"Power line, transmission line",21,14,G,"$10,000,000 to $20,000,000",C,Maintenance or repair,Nonfatal,0,Fall/strike,26,Kidney,3,Rubbed/abraded,11.879675075963956,Temperature +/- Tolerance Lev.,8,Distracting Actions By Others,1,Regularly Assigned,8890,23,0
220960892,2016-08-26 00:00:00,"At 11:00 a.m. on January 25, 2017, an employee was cleaning primers out of the priming bowl in a barricade, when an explosion occurred. The employee sustained multiple burns and abrasions to his forearms, chest, face, and hands, which he was hospitalized and received treatment. ",EMPLOYEE FALLS FROM WINDOW OPENING AND IS KILLED,"CAUGHT IN,LOCKOUT/TAGOUT,MAINTENANCE,MACHINE GUARDING,CHAIN,SPROCKET",C,Commercial building,1,3,A,"Under $50,000",B,Alteration or rehabilitation,Nonfatal,15,Heat Exhaustion,24,Femur,8,Fall (same level),3.7910792043993196,Overhead Moving/Falling Object Action,20,Mater-Handling Procedure Inappropriate,2,Not Regularly Assigned,640,0,0
220937775,2016-10-31 00:00:00,"At 6:45 p.m. on February 12, 2017, an employee, a 38 year old, male painter, was painting the ceiling of an existing commercial building, and then fell 11.5 foot high mobile frame scaffold to the ground.  As a result, the employee sustained multiple injuries and then died, on February 13, 2017. ",EMPLOYEE BYPASSES SAFETY GUARD AND AMPUTATES FINGERTIP,"TRENCH,FALLING OBJECT,CAUGHT IN,CRUSHING,STRUCK BY",J,Bridge,76,13,C,"$250,000 to $500,000",0, ,Nonfatal,13,Freezer burn,2,Face,2,Other,12.209882178889297,Overpressure/Underpressure,12,Distracting Actions By Others,2,Not Regularly Assigned,614,12,0
220913321,2016-03-28 00:00:00,"At 11:00 a.m. on October 17, 2015, an employee was staging water heaters in an apartment building by removing them from boxes located on a forklift and transporting them to third floor. The employee was working alone while a coworker was moving the water heaters into the apartments. The coworker heard a scream and found the employee more than 27-feet below on the ground with the trash box that was being used to transport the water heaters. The employee was killed in the fall sustaining massive head injuries. ",EMPLOYEE'S HAND IS CAUGHT IN CONVEYOR'S MOVING PARTS,"SLIP,CHAIR,STRUCK AGAINST,FALL,LOST BALANCE,HEAD",0, ,19,15,A,"Under $50,000",B,Alteration or rehabilitation,Nonfatal,1,Head Trauma,26,Kidney,4,Shock,14.962149552021753,Flammable Liquid/Solid Exposure,5,Distracting Actions By Others,2,Not Regularly Assigned,8400,9,0
220794101,2015-08-05 00:00:00,"At approximately 9:15 a.m. on July 17, 2016, Employee #1 was driving a Toro Workman utility cart, Model 3200, on a golf course.  He lost control and veered off the asphalt path and struck a tree.  He was ejected and struck the tree and died of a blunt force trauma to his head. ",EMPLOYEE FALLS FROM TRACTOR AND IS RUN OVER AND KILLED BY TR,"PINNED,TORSO,CRUSHED,HEAD,EQUIPMENT FAILURE,CAUGHT BETWEEN,STRUCK BY,PRESS",I,"Highway, road, street",11,6,G,"$10,000,000 to $20,000,000",0, ,Fatal,3,Head Trauma,1,Shoulder,6,Other,12.447912795931309,Gas/Vapor/Mist/Fume/Smoke/Dust,9,Safety Devices Removed/Inoperable,1,Regularly Assigned,8400,7,0
220939359,2016-09-07 00:00:00,"At approximately 11:00 a.m. on February 21, 2017, Employee #1 was testing electrical transformers and received an electrical shock.  Employee #1 was hospitalized. ",EMPLOYEE IS PINNED BETWEEN TWO RACKS AND IS KILLED,"ABDOMEN,POWERED INDUSTRIAL VEHICLE,LOADING DOCK,ROLL-OVER,CRUSHED",Q,Contractor's yard/facility,8,5,0, ,0, ,Nonfatal,17,Fall from Elevation,8,Knee,14,Card-vascular/resp. fail.,6.0018423131547705,"Weather, Earthquake, Etc.",18,Equipment Inappropriate For Operation,1,Regularly Assigned,5,21,0
220825160,2015-12-24 00:00:00,"At 10:30 a.m. on January 13, 2017, an employee was on his letter carrier route. He suffered a heart attack and was hospitalized for 5 days. ",CRUSHING FROM PRESS,"TOXIC ATMOSPHERE,CARBON MONOXIDE,ASPHYXIATED",B,Multi-family dwelling,19,15,B,"$50,000 to $250,000",A,New project or new addition,Fatal,15,Electrocution,19,Internal Injuries,5,Struck-by,2.1921933757375185,Work-Surface/Facility-Layout Condition,11,Mater-Handling Procedure Inappropriate,2,Not Regularly Assigned,640,10,0
220931372,2017-02-13 00:00:00,"At 2:15 p.m. on May 19, 2017, an employee was removing roofing material during a building demolition, when he stepped through insulating material and fell to a concrete slab. The employee was killed as a result of suffering multiplebone fractures and a head injury. The incident investigation reported that the employee was wearing a full-body harness, but was not tied off. ",WORKER TRAINING ON FORK LIFT INCURS FOOT FRACTURE,"CONCRETE,CRUSHED,HEAD,CRUSHER",Q,Contractor's yard/facility,7,9,D,"$500,000 to $1,000,000",C,Maintenance or repair,Fatal,15,Dislocation,31,Head,12,Inhalation,12.316483920228684,Illumination,18,Insufficient /Lack/Protective Work Clothing/Equipment,2,Not Regularly Assigned,C730,9,0
220977748,2016-01-06 00:00:00,"At approximately 10:15 a.m. on January 5, 2017, Employee #1 was setting up a ladder to gain access to a roof.  He need to climb onto the roof to conduct a repair estimate. After completing the roof estimate, Employee #1 attempted to come down the ladder. He was descending the ladder when it slipped on the slippery deck. Employee #1 fell approximately 8 ft and suffered unspecified injuries. Employee #1 was transported to a medical center, where he received treatment and was then hospitalized. ",EMPLOYEE AMPUTATES FINGER WHILE USING CHOP SAW,"SHIPYARD,BLASTING,STRUCK BY,LACERATION,LEG,PORTABLE POWER TOOL",M,Pipeline,21,25,F,"$5,000,000 to $10,000,000",E,Other,Nonfatal,22,Fall from Elevation,27,Elbow,9,Bite/sting/scratch,4.830673160811125,Work-Surface/Facility-Layout Condition,10,Position Inappropriate For Task,2,Not Regularly Assigned,1460,2,0
